,areia,silte,argila,pH,CTC,COT,Ba,Cd,Co,Cr,Cu,Fe,Mn,Ni,Pb,Se,Sb,V,Zn,Sc,La,Ce,Pr,Nd,Sm,Eu,LREE,Y,Gd,Tb,Dy,Er,Ho,Yb,Lu,HREE,LREE/HREE,REE
areia,1.0,-0.8245678487684521,-0.8749570712356979,-0.28181489171379925,-0.7437116963450284,-0.5140331628381043,-0.7005929889170961,-0.5117231285507017,-0.4787238843556169,-0.6323876413716957,-0.6051693583158938,-0.4551343290095959,-0.583567238072557,-0.5369414938034243,-0.7170975008812371,-0.2925449092639377,-0.5650654369205441,-0.6149061530645821,-0.696103150708146,-0.8433515565479974,-0.7103020377526487,-0.6826385568565984,-0.6975367256953963,-0.7065231233955275,-0.7074229564213287,-0.7342527239427952,-0.702988082525918,-0.7232611910996423,-0.7088380718672428,-0.7152881688536551,-0.5975242262596533,-0.720806795115784,-0.6900018471247573,-0.7698456423611926,-0.6452593651073256,-0.7179816879073135,0.16496547533095232,-0.7079857678283599
silte,-0.8245678487684521,1.0,0.49584061676013064,0.3460869246029638,0.6366056151843099,0.34826326301248867,0.7599035204854157,0.47680513022949417,0.5194998754659453,0.4379278417432698,0.5933428391258699,0.43489558504706743,0.6003130966551912,0.5847182532071923,0.6473202212544008,0.06847055593337047,0.3818023933702966,0.41871357511425333,0.6806916233777001,0.7100707985096578,0.6284353603846146,0.6232854676566691,0.6199180906975331,0.6291127645607115,0.6214429668174702,0.6271904826719945,0.6320014032302947,0.6719451266440908,0.6555486423425371,0.625133120945202,0.5191878246884682,0.6170546746396219,0.48291174643772117,0.624798045698797,0.5237582099382039,0.6425658842913797,-0.1725847155458511,0.6361534105576113
argila,-0.8749570712356979,0.49584061676013064,1.0,0.2028833364356685,0.679696145385066,0.5214258003353248,0.529898202439402,0.41519421013986,0.3379834812231732,0.6232491037219674,0.4877186690586002,0.31719867778175304,0.47250366345282424,0.36113762922288306,0.5998453501706632,0.39648301777212697,0.5348436491897941,0.6744196819960762,0.5814555423379096,0.8048199602611226,0.6316248759236969,0.6070556359377297,0.6355831874988885,0.6293807352575089,0.6408902832128122,0.6763214939600662,0.6275883836643583,0.6436926540970088,0.6104725597850852,0.6541872926904471,0.5504681122735563,0.6702591745970095,0.702015391275253,0.73969865711777,0.6133204663285338,0.6418653373980016,-0.14121750723106405,0.6323854273664746
pH,-0.28181489171379925,0.3460869246029638,0.2028833364356685,1.0,0.4321980117442614,-0.08700478840463316,0.4421367191398533,0.16774585571376188,0.5074279071420017,0.343561055107166,0.4730226843935215,0.32308734838531294,0.647853495037703,0.4650440868028129,0.33727530427009494,0.007059928435142853,0.19895469682846234,0.3074481398478743,0.5084191163899948,0.12228874195282835,0.3993895602013147,0.4289359564262719,0.40287100347346066,0.4449888960637669,0.4512065967624352,0.4734180116762506,0.4255977595356237,0.34475090457684837,0.5186450357735599,0.4937775153782202,0.4362902847436984,0.5108614480212819,0.43801044005310685,0.4374069389631838,0.5048270256509991,0.5164878757255118,-0.3214273353762402,0.43605413176817426
CTC,-0.7437116963450284,0.6366056151843099,0.679696145385066,0.4321980117442614,1.0,0.6502831250079254,0.6514166786402503,0.4454366529684565,0.6487941017600972,0.5785051383659102,0.6921715801231894,0.4768934479416363,0.6578023654869304,0.5823769880820372,0.5381524288206354,0.21182522424449807,0.3774840275582311,0.6801950303921788,0.6922847703638034,,0.7198164917611719,0.7159257007310345,0.7051102522476957,0.7332614946465366,0.7392533635339193,0.8043040923996148,0.7200066148560307,,0.8172494463420898,0.8053695646765489,0.6759313301561246,0.8043200731711238,0.6809909284907918,0.7962639816831422,0.797227980396617,0.8018980657044165,-0.415805140375104,0.7293260357401723
COT,-0.5140331628381043,0.34826326301248867,0.5214258003353248,-0.08700478840463316,0.6502831250079254,1.0,0.2439074131337687,0.3535920170579063,0.07768767852710531,0.23324789242399882,0.1504956169157867,0.03996789250559314,0.09798030856404708,0.07271946246999482,0.2818703765652125,0.27290040301846946,0.31800585684082816,0.4584358013357996,0.3225642047876463,0.13423099862153104,0.35354680932977356,0.3237143474368528,0.3642312166716393,0.31905028047443545,0.3106397476902286,0.292983781902172,0.336446319132568,-0.0045986627860422095,0.28081550478625694,0.30984255998702614,0.2303041315034634,0.2721106302976055,0.28300150251294487,0.3800170701355744,0.2534634021622268,0.2669702687046061,0.05029076280606034,0.3353184280551075
Ba,-0.7005929889170961,0.7599035204854157,0.529898202439402,0.4421367191398533,0.6514166786402503,0.2439074131337687,1.0,0.42571259172328896,0.5822326219227149,0.5392584448887837,0.6758976145554481,0.4254292183974213,0.7323786358666344,0.5876840859145479,0.606540675964119,0.0423184090767622,0.41088481418015077,0.4849402160170502,0.7690182074514239,0.7346595973444474,0.7284690650321116,0.7258898785364292,0.7283770827940803,0.7411368283418299,0.7362555503816879,0.7452156777816433,0.7348567962563028,0.7845087210218304,0.7767326148340747,0.7356598051827916,0.6268220189630991,0.6993611991510534,0.537203399098032,0.7016362137427211,0.5419911435039734,0.7552675862128738,-0.21459078711985688,0.7374339465486106
Cd,-0.5117231285507017,0.47680513022949417,0.41519421013986,0.16774585571376188,0.4454366529684565,0.3535920170579063,0.42571259172328896,1.0,0.16822941297669597,0.41677246246668537,0.3425535478946871,0.34518068106263056,0.3079277040139166,0.38862039045266605,0.5512866602364529,0.2672385383638789,0.31627216540615327,0.4999973785550516,0.5227536619532228,0.5299354551524594,0.419918188894044,0.38415660778758204,0.4398735914620016,0.4204535736519453,0.43362669917443797,0.4257845661307742,0.41054795636414704,0.34023142809389506,0.37586010348857835,0.428515439466336,0.3743741268947261,0.39754513399740826,0.4040236942849276,0.48130959558930114,0.3427747235006867,0.41250841399298505,-0.027303917314463928,0.4164657208133465
Co,-0.4787238843556169,0.5194998754659453,0.3379834812231732,0.5074279071420017,0.6487941017600972,0.07768767852710531,0.5822326219227149,0.16822941297669597,1.0,0.6251377242236426,0.78128625798394,0.6995619046151632,0.7649112941167104,0.7931337518865821,0.5460091344842848,0.15532703457555225,0.21881358392103245,0.7803125475130378,0.6381687016248139,0.7712997833891265,0.5533265370660854,0.5911574900174285,0.5396093688492513,0.6096777176417347,0.6186511012989517,0.6929334103698263,0.5874701617550061,0.875085952588303,0.7116979100218656,0.6959239972008219,0.6497861157211191,0.7313047566638888,0.7106924859502778,0.638058843761726,0.8010861191861196,0.7093957379755479,-0.534536413186786,0.5962793331309236
Cr,-0.6323876413716957,0.4379278417432698,0.6232491037219674,0.343561055107166,0.5785051383659102,0.23324789242399882,0.5392584448887837,0.41677246246668537,0.6251377242236426,1.0,0.7117811982507323,0.6304452536663225,0.6026489463811234,0.755289157591267,0.5788092080709561,0.31615231567552626,0.5383790027368435,0.7674451223788484,0.6068353467445119,0.8203979027553554,0.46431928056113914,0.4288709278392585,0.4398382475116861,0.49990053101299603,0.5241222058150377,0.6136503917789422,0.4625882785022559,0.7483717365505517,0.5678283932633118,0.5687560617317817,0.44664376891552354,0.5972926682244625,0.5942296200516005,0.6262192818487025,0.5337133449374182,0.5790891898429947,-0.4397048077772724,0.46894977460139003
Cu,-0.6051693583158938,0.5933428391258699,0.4877186690586002,0.4730226843935215,0.6921715801231894,0.1504956169157867,0.6758976145554481,0.3425535478946871,0.78128625798394,0.7117811982507323,1.0,0.6285819658681001,0.768957957197765,0.8200829530682058,0.5883458850928092,0.21201749175449233,0.36172918783070857,0.7250760295654087,0.7598907128471836,0.6497248547844696,0.5833049612763795,0.5827143681132114,0.5705579333122217,0.636415340483881,0.6516064650031961,0.6914318117652486,0.604691874043169,0.780834488716102,0.7380173231946585,0.6939318531018382,0.6730506186964429,0.7109219390937982,0.6848194077740346,0.6372613928270483,0.686472902807905,0.726572579125329,-0.4841723813050289,0.6132499175184992
Fe,-0.4551343290095959,0.43489558504706743,0.31719867778175304,0.32308734838531294,0.4768934479416363,0.03996789250559314,0.4254292183974213,0.34518068106263056,0.6995619046151632,0.6304452536663225,0.6285819658681001,1.0,0.6476232302791738,0.7462485569509629,0.6859391967550591,0.22814423098150818,0.23293413596689413,0.8189373733063053,0.58261385361951,0.8575231493793597,0.5880025381109605,0.5914256573416905,0.5414761499037818,0.6199180702414396,0.6219394624090667,0.7172339515462445,0.5988209915784062,0.728902586002072,0.6760964074068928,0.6897506657291765,0.5658759345914308,0.6913629038207021,0.6162782987159209,0.620400743549528,0.7561185066191999,0.6769614376900149,-0.4402341480852585,0.6029058557275331
Mn,-0.583567238072557,0.6003130966551912,0.47250366345282424,0.647853495037703,0.6578023654869304,0.09798030856404708,0.7323786358666344,0.3079277040139166,0.7649112941167104,0.6026489463811234,0.768957957197765,0.6476232302791738,1.0,0.6964567212501981,0.6852557739745024,0.14155588895712956,0.3955980642856453,0.6688911471568313,0.8006455565447362,0.671404585851806,0.7208030384540424,0.7646214051526525,0.734516022255435,0.7860233294615988,0.8016834045243173,0.845919438742394,0.7643679735517868,0.7881427175572667,0.8475942150900947,0.8426790696589861,0.7261618257901068,0.8491686379470464,0.7759612006118768,0.7871341964653539,0.8575469119521197,0.8503237576771334,-0.4405595124075763,0.7708690316509489
Ni,-0.5369414938034243,0.5847182532071923,0.36113762922288306,0.4650440868028129,0.5823769880820372,0.07271946246999482,0.5876840859145479,0.38862039045266605,0.7931337518865821,0.755289157591267,0.8200829530682058,0.7462485569509629,0.6964567212501981,1.0,0.5996275030040767,0.0652239264790595,0.31231541463075596,0.7169274815772568,0.634555714681135,0.6691152292839344,0.5557420869387336,0.5430119723752322,0.5214632914751074,0.6205655780567001,0.6328611250354355,0.701647332474752,0.5775422800982599,0.7254116599910992,0.741766588617556,0.656282129673507,0.6120692863800037,0.6825430111782889,0.605356405469521,0.6051923449824387,0.7121449247137044,0.7118350164379018,-0.43864688174760147,0.5891051412700363
Pb,-0.7170975008812371,0.6473202212544008,0.5998453501706632,0.33727530427009494,0.5381524288206354,0.2818703765652125,0.606540675964119,0.5512866602364529,0.5460091344842848,0.5788092080709561,0.5883458850928092,0.6859391967550591,0.6852557739745024,0.5996275030040767,1.0,0.28365952594806937,0.41636972600431593,0.6873244429425547,0.7535411347530723,0.7541328399132647,0.7988259194117074,0.7803980672261278,0.7687379622041418,0.787621183250277,0.7879150946824132,0.8313192010176949,0.7940224006195271,0.5853351089359452,0.7734376643958847,0.7882476691795106,0.688475087960782,0.8007638809475757,0.7630659226075651,0.8175527280792021,0.7604438396085667,0.7964331904977514,-0.19770926400670694,0.7936327991700921
Se,-0.2925449092639377,0.06847055593337047,0.39648301777212697,0.007059928435142853,0.21182522424449807,0.27290040301846946,0.0423184090767622,0.2672385383638789,0.15532703457555225,0.31615231567552626,0.21201749175449233,0.22814423098150818,0.14155588895712956,0.0652239264790595,0.28365952594806937,1.0,0.26506228921599473,0.4285951074748938,0.2235805516060963,,0.03607214795662062,0.027020683233866957,0.03690490216932395,0.0680083751241162,0.09039820240429905,0.17561979632786567,0.04227885691856489,,0.09169729611241968,0.1878249717056151,0.1947267534799022,0.22580576618730933,0.48238035210823826,0.2368817962652329,0.19263909968022855,0.12921691330214233,-0.30036560795679756,0.050278857741706616
Sb,-0.5650654369205441,0.3818023933702966,0.5348436491897941,0.19895469682846234,0.3774840275582311,0.31800585684082816,0.41088481418015077,0.31627216540615327,0.21881358392103245,0.5383790027368435,0.36172918783070857,0.23293413596689413,0.3955980642856453,0.31231541463075596,0.41636972600431593,0.26506228921599473,1.0,0.5430625230651458,0.40196792780375357,,0.3069658958960063,0.31485410356992916,0.31453982025472654,0.3035278339718188,0.3256340830549153,0.3484209351200011,0.31554902463257983,,0.3425965728492729,0.3456169373858019,0.23588199741656327,0.3082989328416215,0.3787077431019636,0.3049946758110608,0.4423176071184947,0.32961192099191466,-0.23837621188557973,0.3122755806795673
V,-0.6149061530645821,0.41871357511425333,0.6744196819960762,0.3074481398478743,0.6801950303921788,0.4584358013357996,0.4849402160170502,0.4999973785550516,0.7803125475130378,0.7674451223788484,0.7250760295654087,0.8189373733063053,0.6688911471568313,0.7169274815772568,0.6873244429425547,0.4285951074748938,0.5430625230651458,1.0,0.6793805578916567,,0.5007001512344472,0.4987624026458978,0.5088112835803846,0.5429827322318388,0.5768660380282239,0.6909590201404706,0.5189480422490131,,0.6237453427697619,0.6979900031007769,0.5888309038807722,0.7028641071920875,0.716165066121186,0.6963710131916537,0.7407346919358125,0.6497738137361845,-0.5693908033713859,0.5271204523631708
Zn,-0.696103150708146,0.6806916233777001,0.5814555423379096,0.5084191163899948,0.6922847703638034,0.3225642047876463,0.7690182074514239,0.5227536619532228,0.6381687016248139,0.6068353467445119,0.7598907128471836,0.58261385361951,0.8006455565447362,0.634555714681135,0.7535411347530723,0.2235805516060963,0.40196792780375357,0.6793805578916567,1.0,0.7399832176150594,0.8002766007603694,0.8043648257977348,0.8007607663600027,0.8244369125312516,0.8306391612356606,0.8324462658170289,0.8167157456374361,0.7303032443149122,0.8616060983689335,0.8419529091450694,0.7200670384638054,0.8267039408013906,0.7653207025807613,0.8379773242697736,0.7729289629662218,0.8511982430173751,-0.2940311029254959,0.8211628153788547
Sc,-0.8433515565479974,0.7100707985096578,0.8048199602611226,0.12228874195282835,,0.13423099862153104,0.7346595973444474,0.5299354551524594,0.7712997833891265,0.8203979027553554,0.6497248547844696,0.8575231493793597,0.671404585851806,0.6691152292839344,0.7541328399132647,,,,0.7399832176150594,1.0,0.7344122252278332,0.7268651649130915,0.6723413264820677,0.7539054457203826,0.8111251305626112,0.9210768788562864,0.7707180555487503,0.8148511563482151,0.7780325636118999,0.7832458005760388,0.6769242152042066,0.8424076819784647,0.7979274315989476,0.9428899192792638,0.8396350947556479,0.8292239047829489,-0.4132810473238215,0.7804707507257659
La,-0.7103020377526487,0.6284353603846146,0.6316248759236969,0.3993895602013147,0.7198164917611719,0.35354680932977356,0.7284690650321116,0.419918188894044,0.5533265370660854,0.46431928056113914,0.5833049612763795,0.5880025381109605,0.7208030384540424,0.5557420869387336,0.7988259194117074,0.03607214795662062,0.3069658958960063,0.5007001512344472,0.8002766007603694,0.7344122252278332,1.0,0.9822814952358558,0.9506264071398075,0.9786841011086552,0.9512585515375007,0.8849566898505848,0.9894294541001412,0.7378300781564625,0.7919017042485207,0.7787593963839091,0.8804550407201012,0.846087151124192,0.832892141818369,0.774093866275369,0.729593874442293,0.9092268986193275,0.08033734650740794,0.9875094739699857
Ce,-0.6826385568565984,0.6232854676566691,0.6070556359377297,0.4289359564262719,0.7159257007310345,0.3237143474368528,0.7258898785364292,0.38415660778758204,0.5911574900174285,0.4288709278392585,0.5827143681132114,0.5914256573416905,0.7646214051526525,0.5430119723752322,0.7803980672261278,0.027020683233866957,0.31485410356992916,0.4987624026458978,0.8043648257977348,0.7268651649130915,0.9822814952358558,1.0,0.9624868211964237,0.9792178621855939,0.9623576355471166,0.9061178592185445,0.9959498058726614,0.7910071438576831,0.7891569110909431,0.8070525227262878,0.8986536487951586,0.8734025830575282,0.8361965602500844,0.8050008459473925,0.7523867036537104,0.927389320439355,0.04657246005535967,0.9949152836855809
Pr,-0.6975367256953963,0.6199180906975331,0.6355831874988885,0.40287100347346066,0.7051102522476957,0.3642312166716393,0.7283770827940803,0.4398735914620016,0.5396093688492513,0.4398382475116861,0.5705579333122217,0.5414761499037818,0.734516022255435,0.5214632914751074,0.7687379622041418,0.03690490216932395,0.31453982025472654,0.5088112835803846,0.8007607663600027,0.6723413264820677,0.9506264071398075,0.9624868211964237,1.0,0.9622696681582605,0.9636604751430053,0.9048430444208392,0.9720601542444114,0.7834979356614951,0.8343947878548683,0.8767785483643341,0.8523432795626662,0.881492458339865,0.85198932969011,0.8382532809325756,0.7313839366935554,0.9382117756832169,-0.035054737389601416,0.9729744392022902
Nd,-0.7065231233955275,0.6291127645607115,0.6293807352575089,0.4449888960637669,0.7332614946465366,0.31905028047443545,0.7411368283418299,0.4204535736519453,0.6096777176417347,0.49990053101299603,0.636415340483881,0.6199180702414396,0.7860233294615988,0.6205655780567001,0.787621183250277,0.0680083751241162,0.3035278339718188,0.5429827322318388,0.8244369125312516,0.7539054457203826,0.9786841011086552,0.9792178621855939,0.9622696681582605,1.0,0.9891032234730419,0.9369411896328362,0.9910052732574849,0.8876593360414624,0.8394759894954263,0.8426942630776977,0.9059989642813474,0.8979058775531638,0.8914689725914282,0.8342480929093482,0.790721085835775,0.954452439678896,-0.04225811597196569,0.9923066956209522
Sm,-0.7074229564213287,0.6214429668174702,0.6408902832128122,0.4512065967624352,0.7392533635339193,0.3106397476902286,0.7362555503816879,0.43362669917443797,0.6186511012989517,0.5241222058150377,0.6516064650031961,0.6219394624090667,0.8016834045243173,0.6328611250354355,0.7879150946824132,0.09039820240429905,0.3256340830549153,0.5768660380282239,0.8306391612356606,0.8111251305626112,0.9512585515375007,0.9623576355471166,0.9636604751430053,0.9891032234730419,1.0,0.9598138519813418,0.9761295612193399,0.9102752701463249,0.8453150310148496,0.880685551400229,0.9132090399679373,0.931918603581476,0.9188861359227384,0.8802224874097476,0.8094058627188593,0.975858293178385,-0.13627638448020626,0.9799550549258328
Eu,-0.7342527239427952,0.6271904826719945,0.6763214939600662,0.4734180116762506,0.8043040923996148,0.292983781902172,0.7452156777816433,0.4257845661307742,0.6929334103698263,0.6136503917789422,0.6914318117652486,0.7172339515462445,0.845919438742394,0.701647332474752,0.8313192010176949,0.17561979632786567,0.3484209351200011,0.6909590201404706,0.8324462658170289,0.9210768788562864,0.8849566898505848,0.9061178592185445,0.9048430444208392,0.9369411896328362,0.9598138519813418,1.0,0.9191743961954364,0.9077148719932919,0.8108534383849167,0.881289254489666,0.8815668907315606,0.9622676516939536,0.918753260375386,0.9412286158520818,0.9061129638746038,0.967291229583752,-0.2625237349221088,0.9253874101947921
LREE,-0.702988082525918,0.6320014032302947,0.6275883836643583,0.4255977595356237,0.7200066148560307,0.336446319132568,0.7348567962563028,0.41054795636414704,0.5874701617550061,0.4625882785022559,0.604691874043169,0.5988209915784062,0.7643679735517868,0.5775422800982599,0.7940224006195271,0.04227885691856489,0.31554902463257983,0.5189480422490131,0.8167157456374361,0.7707180555487503,0.9894294541001412,0.9959498058726614,0.9720601542444114,0.9910052732574849,0.9761295612193399,0.9191743961954364,1.0,0.8240649950973525,0.8138495780977616,0.8257029634775018,0.900743900514769,0.8843459540409545,0.8625937034480443,0.8196938659555287,0.7646582037208587,0.9407264974225013,0.019615031758767026,0.9995520527711238
Y,-0.7232611910996423,0.6719451266440908,0.6436926540970088,0.34475090457684837,,-0.0045986627860422095,0.7845087210218304,0.34023142809389506,0.875085952588303,0.7483717365505517,0.780834488716102,0.728902586002072,0.7881427175572667,0.7254116599910992,0.5853351089359452,,,,0.7303032443149122,0.8148511563482151,0.7378300781564625,0.7910071438576831,0.7834979356614951,0.8876593360414624,0.9102752701463249,0.9077148719932919,0.8240649950973525,1.0,0.9171633914240219,0.9440708794751079,0.935805077869179,0.9554435011550702,0.9335157518490312,0.8591302316629218,0.8308848457522805,0.9808810164820351,-0.616429723480999,0.8410953168605769
Gd,-0.7088380718672428,0.6555486423425371,0.6104725597850852,0.5186450357735599,0.8172494463420898,0.28081550478625694,0.7767326148340747,0.37586010348857835,0.7116979100218656,0.5678283932633118,0.7380173231946585,0.6760964074068928,0.8475942150900947,0.741766588617556,0.7734376643958847,0.09169729611241968,0.3425965728492729,0.6237453427697619,0.8616060983689335,0.7780325636118999,0.7919017042485207,0.7891569110909431,0.8343947878548683,0.8394759894954263,0.8453150310148496,0.8108534383849167,0.8138495780977616,0.9171633914240219,1.0,0.7724907109666227,0.6959498824993084,0.7702209240089358,0.8764095645315841,0.7229145285655258,0.864923384809876,0.8542729110957145,-0.19715424243214674,0.818101838180835
Tb,-0.7152881688536551,0.625133120945202,0.6541872926904471,0.4937775153782202,0.8053695646765489,0.30984255998702614,0.7356598051827916,0.428515439466336,0.6959239972008219,0.5687560617317817,0.6939318531018382,0.6897506657291765,0.8426790696589861,0.656282129673507,0.7882476691795106,0.1878249717056151,0.3456169373858019,0.6979900031007769,0.8419529091450694,0.7832458005760388,0.7787593963839091,0.8070525227262878,0.8767785483643341,0.8426942630776977,0.880685551400229,0.881289254489666,0.8257029634775018,0.9440708794751079,0.7724907109666227,1.0,0.7488730565421077,0.9058461597379565,0.9442881935373305,0.9020748410675441,0.8942462082266581,0.9122053432802332,-0.3770052997144703,0.8346476604676117
Dy,-0.5975242262596533,0.5191878246884682,0.5504681122735563,0.4362902847436984,0.6759313301561246,0.2303041315034634,0.6268220189630991,0.3743741268947261,0.6497861157211191,0.44664376891552354,0.6730506186964429,0.5658759345914308,0.7261618257901068,0.6120692863800037,0.688475087960782,0.1947267534799022,0.23588199741656327,0.5888309038807722,0.7200670384638054,0.6769242152042066,0.8804550407201012,0.8986536487951586,0.8523432795626662,0.9059989642813474,0.9132090399679373,0.8815668907315606,0.900743900514769,0.935805077869179,0.6959498824993084,0.7488730565421077,1.0,0.8978076660903842,0.9499645731484988,0.8100260666106047,0.7892760522175251,0.920918650739412,-0.21161291556693138,0.9069612803168535
Er,-0.720806795115784,0.6170546746396219,0.6702591745970095,0.5108614480212819,0.8043200731711238,0.2721106302976055,0.6993611991510534,0.39754513399740826,0.7313047566638888,0.5972926682244625,0.7109219390937982,0.6913629038207021,0.8491686379470464,0.6825430111782889,0.8007638809475757,0.22580576618730933,0.3082989328416215,0.7028641071920875,0.8267039408013906,0.8424076819784647,0.846087151124192,0.8734025830575282,0.881492458339865,0.8979058775531638,0.931918603581476,0.9622676516939536,0.8843459540409545,0.9554435011550702,0.7702209240089358,0.9058461597379565,0.8978076660903842,1.0,0.9755453039287432,0.9652018128642154,0.9186263097056209,0.9700254648487142,-0.3665864869071647,0.8935368572840153
Ho,-0.6900018471247573,0.48291174643772117,0.702015391275253,0.43801044005310685,0.6809909284907918,0.28300150251294487,0.537203399098032,0.4040236942849276,0.7106924859502778,0.5942296200516005,0.6848194077740346,0.6162782987159209,0.7759612006118768,0.605356405469521,0.7630659226075651,0.48238035210823826,0.3787077431019636,0.716165066121186,0.7653207025807613,0.7979274315989476,0.832892141818369,0.8361965602500844,0.85198932969011,0.8914689725914282,0.9188861359227384,0.918753260375386,0.8625937034480443,0.9335157518490312,0.8764095645315841,0.9442881935373305,0.9499645731484988,0.9755453039287432,1.0,0.9450017703314233,0.8298821168825391,0.9543906672357902,-0.44458824583761414,0.8741409687258034
Yb,-0.7698456423611926,0.624798045698797,0.73969865711777,0.4374069389631838,0.7962639816831422,0.3800170701355744,0.7016362137427211,0.48130959558930114,0.638058843761726,0.6262192818487025,0.6372613928270483,0.620400743549528,0.7871341964653539,0.6051923449824387,0.8175527280792021,0.2368817962652329,0.3049946758110608,0.6963710131916537,0.8379773242697736,0.9428899192792638,0.774093866275369,0.8050008459473925,0.8382532809325756,0.8342480929093482,0.8802224874097476,0.9412286158520818,0.8196938659555287,0.8591302316629218,0.7229145285655258,0.9020748410675441,0.8100260666106047,0.9652018128642154,0.9450017703314233,1.0,0.8757048986021424,0.9224092791909143,-0.4047932665789826,0.8297120710065954
Lu,-0.6452593651073256,0.5237582099382039,0.6133204663285338,0.5048270256509991,0.797227980396617,0.2534634021622268,0.5419911435039734,0.3427747235006867,0.8010861191861196,0.5337133449374182,0.686472902807905,0.7561185066191999,0.8575469119521197,0.7121449247137044,0.7604438396085667,0.19263909968022855,0.4423176071184947,0.7407346919358125,0.7729289629662218,0.8396350947556479,0.729593874442293,0.7523867036537104,0.7313839366935554,0.790721085835775,0.8094058627188593,0.9061129638746038,0.7646582037208587,0.8308848457522805,0.864923384809876,0.8942462082266581,0.7892760522175251,0.9186263097056209,0.8298821168825391,0.8757048986021424,1.0,0.9001271001755635,-0.3918108863266078,0.7780073704799566
HREE,-0.7179816879073135,0.6425658842913797,0.6418653373980016,0.5164878757255118,0.8018980657044165,0.2669702687046061,0.7552675862128738,0.41250841399298505,0.7093957379755479,0.5790891898429947,0.726572579125329,0.6769614376900149,0.8503237576771334,0.7118350164379018,0.7964331904977514,0.12921691330214233,0.32961192099191466,0.6497738137361845,0.8511982430173751,0.8292239047829489,0.9092268986193275,0.927389320439355,0.9382117756832169,0.954452439678896,0.975858293178385,0.967291229583752,0.9407264974225013,0.9808810164820351,0.8542729110957145,0.9122053432802332,0.920918650739412,0.9700254648487142,0.9543906672357902,0.9224092791909143,0.9001271001755635,1.0,-0.2895737730722577,0.9481898972438403
LREE/HREE,0.16496547533095232,-0.1725847155458511,-0.14121750723106405,-0.3214273353762402,-0.415805140375104,0.05029076280606034,-0.21459078711985688,-0.027303917314463928,-0.534536413186786,-0.4397048077772724,-0.4841723813050289,-0.4402341480852585,-0.4405595124075763,-0.43864688174760147,-0.19770926400670694,-0.30036560795679756,-0.23837621188557973,-0.5693908033713859,-0.2940311029254959,-0.4132810473238215,0.08033734650740794,0.04657246005535967,-0.035054737389601416,-0.04225811597196569,-0.13627638448020626,-0.2625237349221088,0.019615031758767026,-0.616429723480999,-0.19715424243214674,-0.3770052997144703,-0.21161291556693138,-0.3665864869071647,-0.44458824583761414,-0.4047932665789826,-0.3918108863266078,-0.2895737730722577,1.0,-0.0006844432138556166
REE,-0.7079857678283599,0.6361534105576113,0.6323854273664746,0.43605413176817426,0.7293260357401723,0.3353184280551075,0.7374339465486106,0.4164657208133465,0.5962793331309236,0.46894977460139003,0.6132499175184992,0.6029058557275331,0.7708690316509489,0.5891051412700363,0.7936327991700921,0.050278857741706616,0.3122755806795673,0.5271204523631708,0.8211628153788547,0.7804707507257659,0.9875094739699857,0.9949152836855809,0.9729744392022902,0.9923066956209522,0.9799550549258328,0.9253874101947921,0.9995520527711238,0.8410953168605769,0.818101838180835,0.8346476604676117,0.9069612803168535,0.8935368572840153,0.8741409687258034,0.8297120710065954,0.7780073704799566,0.9481898972438403,-0.0006844432138556166,1.0
